微博创建时间,微博url,点赞数,转发数,评论数,工具,关键词,微博内容,情感得分,TF-IDF关键词,TextRank关键词
2018/1/6 22:35,https://weibo.com/1708922835/FD9J8hOLX,33,91,4,微博 weibo.com,A股,【大创新时代！A股2018年投资策略】兴业证券王德伦： 我们正处在新一轮创新周期的起点，各项条件已基本具备。与上一轮小公司的模式创新不同，这一轮创新主要以大公司引领的技术创新为特征，并且有六个方面的因素正在催化“大创新时代”：第一、大国战略，以建设现代化经济体系作为战略支撑。第二、基础设施，以5G建设为代表。第三、创新人才，中国正在成为全球人才的聚集“高地”。第四、龙头动向，阿里成立达摩院选择技术创新作为产业前进方向。第五、一级先导，近几年创投机构对技术创新型企业投资不断加大，有望孵化出一批代表性企业，为二级市场注入活力。第六、政策导向，以360作为中概股私有化，借壳上市登陆A股表明政策和制度建设对优质龙头企业回归提供了可能。http://t.cn/RHrmD87,88.15277202,创新 A股 技术创新 建设 一轮 ,创新 作为 建设 投资 A股 
2018/1/6 22:02,https://weibo.com/1638782947/FD9vOEd4w,63,84,37,专业版微博,A股,【A股蓝筹贵不贵？纵向比、横向看，估值潜力找答案】2017年以来，市场分化明显，以蓝筹股为代表的个股悄然走出一轮结构性“牛市”。对于投资者来说，经过一轮大涨的蓝筹们估值究竟是否已经过高了呢？截至2018年1月5日，沪深300指数整体市盈率为14.67倍，绝对数值并不高，但估值水平已经回到上一轮牛市中期时的水平。http://t.cn/RHrYk2f[组图共3张],10.18348281,一轮 估值 牛市 蓝筹 A股 ,估值 牛市 走出 横向 潜力 
2018/1/7 22:55,https://weibo.com/1254381361/FDjhS1R5x,86,114,22,微博 weibo.com,A股,【关于与国际市场接轨】近几年市场上有一个普通说法，就是中国A股将逐渐地与国际成熟市场，如美国股市、港股这样的相对成熟的市场接轨。对此说法我是十分认同的，而且在我15年、16年的一些文章就谈到这一点。但是细细思量一下，什么叫与国际成熟市场接轨呢？是不是大盘蓝筹上涨就与国际成熟市场接轨了呢？如果这样认为，我觉得就有些肤浅了。我觉得，与国际成熟市场接轨，更主要是说的我们中国A股市场将来会越来越变得相对有效性（就长期而言，市场当是有效的）。这个有效性，其实更主要的是体现在对优质资源的合理配置，即我们说的要改变过去那种劣币驱逐良币的不正常现象。一个人若想长久立足于社会，须走正道，而一个股市若想长远健康发展，自然也要走正道，即发挥市场的这种价值发现功能，实现这种对优秀企业资源的有效配置，这也当是资本市场存在的根基之所在（如果是个劣币驱逐良币的赌场，还不如早早把它关了呢）。从这个根本点上再分析去年的绩优蓝筹行情，其实就可以理解了，我认为这个绩优蓝筹行情更多的是体现在价值发现与价值回归基础之上的。可以预期，我们中国A股市场的这种价值发现功能将越来越好，具体的表现就是：时间将会是优秀企业的朋友，而是烂企业的敌人，或者说时间将会让优秀企业脱颖而出，而让烂企业边缘化。,-10.78677757,接轨 市场 A股 成熟 劣币 ,市场 价值 企业 接轨 发现 
2018/1/6 13:31,https://weibo.com/2244291964/FD6azsup9,112,175,18,iPhone 6s Plus,A股,A股各行业龙头股一览（名单）,2.728521006,A股 一览 行业龙头 名单 ,行业龙头 一览 名单 A股 
2018/1/7 23:24,https://weibo.com/5848806348/FDjtFm1Lf,256,164,54,360安全浏览器,A股,恒生继续牛市，内房企和银行股主要带动指数，那么韩叔预计A股的房地产板块也会继续补涨行情，万保金，值得你继续持有。[酷],9.003077136,继续 保金 内房 企和 韩叔 ,继续 板块 补涨 指数 保金 
2018/1/8 14:05,https://weibo.com/2183570524/FDpfcfPFQ,216,792,60,微博 weibo.com,A股,【A股有哪些好公司（长期ROE&gt;15%+）？】@风之弈   《巴菲特给股东的信》里面讲过，如果非让他用一个指标进行选股，他就用净资产收益率ROE，他说ROE能常年持续稳定在15%以上的公司都是好公司，可以考虑买入。ROE超过30%的则是凤毛麟角。  那么，我看看A股满足巴菲特的这个条件的公司有哪些？（这个常年，我们给定一个量化值，就是十年） http://t.cn/RHN9G47,26.08654497,ROE A股 15% 巴菲特 常年 ,公司 满足 选股 收益率 量化 
2018/1/8 21:55,https://weibo.com/5631598472/FDsk46xJG,911,104,1,微博 weibo.com,A股,"从1月2日上来的走势很凌厉,一下子就穿越3400,但3400以上压力不轻,而3400也不一定一次就过,加上人民币今天反贬,我预估明天再上拉到3415-3417就会有压力,而时间就出现在10点半过后   本波上来,地产与一些低PE的公司走势比较强,地产与港股相关板块业有些关系,是不是外资操作A股也会注意港股,这会是未来另一个课题   股市就是这样,一个样貌了解后,还会有另一个样貌,所以一开始就要开始关心,所有有可能影响变动的因素都要快速了解快速进入状况   即使这次大盘上涨,也不是雨露均沾,这是另一时代的开启,MSCI概念股,低PE股,一开始都是资金第一步进驻的重心,但接下来就要靠真本事选股与耐心持股,产业好坏才是股价变动的核心   如果去年一些白马股如果都是大衰退股,我想不会有涨幅,能涨,主因是有成长加上PE够低,但我一直强调,当股价基期已不同下,那今年选股就要多费心   今年第一波应该就是低PE股,但接下来就要很注意国际产业与港股相关板块的变动,这是越来越专业的时代   我强调先不碰锂电池板块,但事实上还是有涨,但我仔细看了去年投产公司,多的吓人,而且很多今年产能都会开出,所以真要看此板块,那只能从材料端着手,这很专业,不容易掌控   此外芯片股,或半导体相关个股,在这波走势都不是很好,主因是去年12月都在高位期,而现在滑落,正是在修正指标   明天开始会有一些小修正或变动加大,指数空间变小,如果我做股指,我会减掉半仓,懂我意思吗   那大盘看保守,而个股呢,不受影响,看看指标状况,该休息的依旧休息,不太可能突然一下子就上来   很多个股出现许久不见的大量,只要CCI还允许,应该还有幅度   要提醒,造纸股最近几天上涨,除了彰显低PE外,其馀就是指标修复,但是要注意,此板块先见好就收,多注意报价问题   地产类多关注港股相关变化   半导体类等指标修复,与双紫何时再发动 明天天然气板块或许有惊喜,多看两眼   仅供参考,祝幸运",61.51506677,PE 3400 板块 港股 变动 ,港股 相关 板块 变动 注意 
2018/1/9 17:56,https://weibo.com/1896820725/FDAbr9z1o,734,36,132,iPhone 7 Plus,A股,又是一片红！全球股市都一样，年后不光A股这样涨。A股涨的还算是含蓄低调的了。为啥全球股市大涨？这个可能是最后的疯狂冲刺阶段吧！,3.180805091,A股 全球股市 冲刺 含蓄 低调 ,算是 A股 阶段 冲刺 含蓄 
2018/1/9 9:13,https://weibo.com/2014433131/FDwLfhmIS,677,9,101,伏地拜瓶教iPhone 7 Plus,A股,千万不要来教育我“怎么做大V”，因为我压根不拿自己当“V”，我的身份证和中华人民共和国其它人的身份证一样，没写着“大V”。 所以一个普通人人可以扯的，我就可以扯。我的账号我做主，我想聊嫩模就嫩模，想开车就开车。不开车的时候，也聊点严肃的，比如在A股赌钱。 我喜欢钱喜欢女人，你让我圣人君子，我就要背着牌坊说话？这种思维是不是有毛病？ 想要完美“大V”啊？你自己去做啊[摊手]反正我不是什么V,-0.439289742,开车 身份证 我想 聊嫩模 嫩模 ,喜欢 开车 背着 思维 说话 
2018/1/8 7:00,https://weibo.com/6003448985/FDmsRiakA,190,375,16,微博 weibo.com,A股,《A股最高战法！手把手教你短线战法之“单阳不破“，字字道破天机！》  #财经MCN# A股最高战法！手把手教你短线战法之“单阳不破“，字字道破天机！,10.29201881,战法 A股 单阳 手把手 道破 ,战法 手把手 A股 字字 不破 
